Total,Big Plates,Small Plates
120.3,` 22.6 20.0                    ,1.25 1.25
121.9,` 22.6 20.0                    ,2.2 1.1
122.2,` 22.6 20.0                    ,2.2 1.25
122.5,` 22.6 20.0                    ,1.25 1.25 1.1
124.3,` 22.6 20.0                    ,4.5
124.4,` 22.6 20.0                    ,2.2 1.25 1.1
124.7,` 22.6 20.0                    ,2.2 1.25 1.25
125.3,` 22.6 20.0                    ,5.0
126.5,` 22.6 20.0                    ,4.5 1.1
126.8,` 22.6 20.0                    ,4.5 1.25
126.9,` 22.6 20.0                    ,2.2 1.25 1.25 1.1
127.5,` 22.6 20.0                    ,5.0 1.1
127.8,` 22.6 20.0                    ,5.0 1.25
128.7,` 22.6 20.0                    ,4.5 2.2
129.0,` 22.6 20.0                    ,4.5 1.25 1.1
129.3,` 22.6 20.0                    ,4.5 1.25 1.25
129.7,` 22.6 20.0                    ,5.0 2.2
130.0,` 22.6 20.0                    ,5.0 1.25 1.1
130.3,` 22.6 20.0                    ,5.0 1.25 1.25
130.9,` 22.6 20.0                    ,4.5 2.2 1.1
131.2,` 22.6 20.0                    ,4.5 2.2 1.25
131.5,` 22.6 20.0                    ,4.5 1.25 1.25 1.1
131.9,` 22.6 20.0                    ,5.0 2.2 1.1
132.2,` 22.6 20.0                    ,5.0 2.2 1.25
132.5,` 22.6 20.0                    ,5.0 1.25 1.25 1.1
133.4,` 22.6 20.0                    ,4.5 2.2 1.25 1.1
133.7,` 22.6 20.0                    ,4.5 2.2 1.25 1.25
134.3,` 22.6 20.0                    ,5.0 4.5
134.4,` 22.6 20.0                    ,5.0 2.2 1.25 1.1
134.7,` 22.6 20.0                    ,5.0 2.2 1.25 1.25
135.3,` 22.6 20.0                10.0,
135.9,` 22.6 20.0                    ,4.5 2.2 1.25 1.25 1.1
136.5,` 22.6 20.0                    ,5.0 4.5 1.1
136.8,` 22.6 20.0                    ,5.0 4.5 1.25
136.9,` 22.6 20.0                    ,5.0 2.2 1.25 1.25 1.1
137.5,` 22.6 20.0                10.0,1.1
137.8,` 22.6 20.0                10.0,1.25
137.9,` 22.6 20.0           11.3     ,
138.7,` 22.6 20.0                    ,5.0 4.5 2.2
139.0,` 22.6 20.0                    ,5.0 4.5 1.25 1.1
139.3,` 22.6 20.0                    ,5.0 4.5 1.25 1.25
139.7,` 22.6 20.0                10.0,2.2
140.0,` 22.6 20.0                10.0,1.25 1.1
140.1,` 22.6 20.0           11.3     ,1.1
140.3,` 22.6 20.0                10.0,1.25 1.25
140.4,` 22.6 20.0           11.3     ,1.25
140.9,` 22.6 20.0                    ,5.0 4.5 2.2 1.1
141.2,` 22.6 20.0                    ,5.0 4.5 2.2 1.25
